150 PA5-A-Debug-Output.txt 6
  -30.55    10.71   -33.14       -30.55    10.71   -33.14     0.000
  -10.68   -21.76   -11.60       -10.68   -21.76   -11.60     0.000
   25.69    19.91   -19.57        25.69    19.91   -19.57     0.000
   23.68     0.14    59.91        23.68     0.14    59.91     0.000
   31.86    18.83     0.04        31.86    18.83     0.04     0.000
   11.53   -16.49   -10.77        11.53   -16.49   -10.77     0.000
   -6.54    -3.71   -43.37        -6.54    -3.71   -43.37     0.000
  -18.52     6.42     8.63       -18.52     6.42     8.63     0.000
   -7.27    12.51     8.89        -7.27    12.51     8.89     0.000
   21.09   -14.02   -18.45        21.09   -14.02   -18.45     0.000
  -15.50   -17.80   -46.79       -15.50   -17.80   -46.79     0.000
   23.90     4.75   -28.12        23.90     4.75   -28.12     0.000
   -3.48     4.73   -22.10        -3.48     4.73   -22.10     0.000
   10.52    -5.85    24.29        10.52    -5.85    24.29     0.000
   41.91     5.86    -4.66        41.91     5.86    -4.66     0.000
    4.00    20.82    28.05         4.00    20.82    28.05     0.000
   -3.09   -12.73   -40.03        -3.09   -12.73   -40.03     0.000
   23.69    -8.19    14.39        23.69    -8.19    14.39     0.000
   31.12     6.60    24.64        31.12     6.60    24.64     0.000
  -17.43   -28.04   -18.08       -17.43   -28.04   -18.08     0.000
   26.51    -0.19    44.31        26.51    -0.19    44.31     0.000
    7.72    -4.64    37.11         7.72    -4.64    37.11     0.000
   30.68     4.82    29.94        30.68     4.82    29.94     0.000
    1.14    -2.37    60.27         1.14    -2.37    60.27     0.000
   38.25     4.85   -17.85        38.25     4.85   -17.85     0.000
  -33.82   -23.78   -17.87       -33.82   -23.78   -17.87     0.000
  -21.48    16.14    21.86       -21.48    16.14    21.86     0.000
   24.40    -3.24    42.66        24.40    -3.24    42.66     0.000
  -19.77    11.26   -37.69       -19.77    11.26   -37.69     0.000
    1.80     0.28   -22.70         1.80     0.28   -22.70     0.000
  -12.14     0.61    27.52       -12.14     0.61    27.52     0.000
    3.66    17.62    -6.78         3.66    17.62    -6.78     0.000
  -23.34    14.78    28.84       -23.34    14.78    28.84     0.000
   16.31    -5.32    41.75        16.31    -5.32    41.75     0.000
   -9.17     8.86   -18.84        -9.17     8.86   -18.84     0.000
  -17.57     9.60    13.29       -17.57     9.60    13.29     0.000
   35.58    11.73    10.78        35.58    11.73    10.78     0.000
